Mutant ID,MTG ID,Status,Notes,Actual Output SI,Actual Output FI,Actual Output Relation,MR Verdict
M41,MTG3,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['P']
Total distance: inf","Shortest path: ['S']
Total distance: inf",source distance == follow-up distance,PASS
M41,MTG4,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['V']
Total distance: inf",source distance == follow-up distance,PASS
M41,MTG5,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['T']
Total distance: inf",source distance == follow-up distance,PASS
M42,MTG1,Not Equivalent,"SI=3.0, FI=5.0","Shortest path: ['A', 'B', 'E', 'G']
Total distance: 3.0","Shortest path: ['G', 'E', 'B', 'A']
Total distance: 5.0",source distance ≠ follow-up distance,FAIL
M42,MTG2,Not Equivalent,"SI=2.0, FI=2.0","Shortest path: ['1', '3', '4', '6']
Total distance: 2.0","Shortest path: ['6', '4', '3', '1']
Total distance: 2.0",source distance == follow-up distance,PASS
M42,MTG3,Not Equivalent,"SI=2.0, FI=3.0","Shortest path: ['P', 'R', 'Q', 'S']
Total distance: 2.0","Shortest path: ['S', 'Q', 'R', 'P']
Total distance: 3.0",source distance ≠ follow-up distance,FAIL
M42,MTG4,Not Equivalent,"SI=2.0, FI=4.0","Shortest path: ['X', 'Z', 'W', 'V']
Total distance: 2.0","Shortest path: ['V', 'W', 'Y', 'X']
Total distance: 4.0",source distance ≠ follow-up distance,FAIL
M42,MTG5,Not Equivalent,"SI=1.0, FI=1.0","Shortest path: ['S', 'A', 'C', 'T']
Total distance: 1.0","Shortest path: ['T', 'C', 'A', 'S']
Total distance: 1.0",source distance == follow-up distance,PASS
M43,MTG1,Not Equivalent,"SI=11.0, FI=11.0","Shortest path: ['A', 'G']
Total distance: 11.0","Shortest path: ['G', 'A']
Total distance: 11.0",source distance == follow-up distance,PASS
M43,MTG2,Not Equivalent,"SI=5.0, FI=5.0","Shortest path: ['1', '6']
Total distance: 5.0","Shortest path: ['6', '1']
Total distance: 5.0",source distance == follow-up distance,PASS
M43,MTG3,Not Equivalent,"SI=8.0, FI=8.0","Shortest path: ['P', 'S']
Total distance: 8.0","Shortest path: ['S', 'P']
Total distance: 8.0",source distance == follow-up distance,PASS
M43,MTG4,Not Equivalent,"SI=9.0, FI=9.0","Shortest path: ['X', 'V']
Total distance: 9.0","Shortest path: ['V', 'X']
Total distance: 9.0",source distance == follow-up distance,PASS
M43,MTG5,Not Equivalent,"SI=3.0, FI=3.0","Shortest path: ['S', 'T']
Total distance: 3.0","Shortest path: ['T', 'S']
Total distance: 3.0",source distance == follow-up distance,PASS
M44,MTG1,Not Equivalent,"SI=3.0, FI=3.0","Shortest path: ['A', 'D', 'E', 'G']
Total distance: 3","Shortest path: ['G', 'F', 'D', 'A']
Total distance: 3",source distance == follow-up distance,PASS
M44,MTG2,Not Equivalent,"SI=3.0, FI=3.0","Shortest path: ['1', '3', '4', '6']
Total distance: 3","Shortest path: ['6', '5', '3', '1']
Total distance: 3",source distance == follow-up distance,PASS
M44,MTG3,Not Equivalent,"SI=2.0, FI=2.0","Shortest path: ['P', 'R', 'S']
Total distance: 2","Shortest path: ['S', 'Q', 'P']
Total distance: 2",source distance == follow-up distance,PASS
M44,MTG4,Not Equivalent,"SI=3.0, FI=3.0","Shortest path: ['X', 'Z', 'W', 'V']
Total distance: 3","Shortest path: ['V', 'W', 'Z', 'X']
Total distance: 3",source distance == follow-up distance,PASS
M44,MTG5,Not Equivalent,"SI=2.0, FI=2.0","Shortest path: ['S', 'B', 'T']
Total distance: 2","Shortest path: ['T', 'B', 'S']
Total distance: 2",source distance == follow-up distance,PASS
M45,MTG1,Not Equivalent,"SI=11.0, FI=11.0","Shortest path: ['A', 'D', 'E', 'G']
Total distance: 11.0","Shortest path: ['G', 'E', 'D', 'A']
Total distance: 11.0",source distance == follow-up distance,PASS
M45,MTG2,Not Equivalent,"SI=5.0, FI=5.0","Shortest path: ['1', '3', '4', '6']
Total distance: 5.0","Shortest path: ['6', '4', '3', '1']
Total distance: 5.0",source distance == follow-up distance,PASS
M45,MTG3,Not Equivalent,"SI=8.0, FI=8.0","Shortest path: ['P', 'R', 'Q', 'S']
Total distance: 8.0","Shortest path: ['S', 'Q', 'R', 'P']
Total distance: 8.0",source distance == follow-up distance,PASS
M45,MTG4,Not Equivalent,"SI=9.0, FI=9.0","Shortest path: ['X', 'Y', 'W', 'V']
Total distance: 9.0","Shortest path: ['V', 'W', 'Z', 'X']
Total distance: 9.0",source distance == follow-up distance,PASS
M45,MTG5,Not Equivalent,"SI=3.0, FI=3.0","Shortest path: ['S', 'A', 'C', 'T']
Total distance: 3.0","Shortest path: ['T', 'C', 'A', 'S']
Total distance: 3.0",source distance == follow-up distance,PASS
