Mutant ID,MTG ID,Status,Notes,Actual Output SI,Actual Output FI1,Actual Output FI2,Actual Output Relation,MR Verdict
M1,MTG11,Not Equivalent,"SI=11.0, FI1=8.0, FI2=3.0","Shortest path: ['A', 'D', 'E', 'G']
Total distance: 11.0","Shortest path: ['E', 'D', 'A']
Total distance: 8.0","Shortest path: ['G', 'E']
Total distance: 3.0",source distance == FI1 distance + FI2 distance,PASS
M1,MTG12,Not Equivalent,"SI=5.0, FI1=3.0, FI2=2.0","Shortest path: ['1', '3', '4', '6']
Total distance: 5.0","Shortest path: ['4', '3', '1']
Total distance: 3.0","Shortest path: ['6', '4']
Total distance: 2.0",source distance == FI1 distance + FI2 distance,PASS
M1,MTG13,Not Equivalent,"SI=6.0, FI1=3.0, FI2=3.0","Shortest path: ['P', 'R', 'S', 'T']
Total distance: 6.0","Shortest path: ['S', 'R', 'P']
Total distance: 3.0","Shortest path: ['T', 'S']
Total distance: 3.0",source distance == FI1 distance + FI2 distance,PASS
M1,MTG14,Not Equivalent,Output did not contain a parseable distance,"Traceback (most recent call last):
  File ""C:\Users\Admin\code\testingproject\maichi\MUTANTS\mutant1.py"", line 68, in <module>
    main()
    ~~~~^^
  File ""C:\Users\Admin\code\testingproject\maichi\MUTANTS\mutant1.py"", line 63, in main
    path, distance = graph.shortest_path(args.start, args.end)
                     ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Admin\code\testingproject\maichi\MUTANTS\mutant1.py"", line 46, in shortest_path
    while previous_node[current_node] is not None:
          ~~~~~~~~~~~~~^^^^^^^^^^^^^^
KeyError: 'V'","Shortest path: ['W', 'Z', 'X']
Total distance: 7.0","Shortest path: ['V', 'W']
Total distance: 2.0",ERROR - could not parse distance,ERROR
M1,MTG15,Not Equivalent,"SI=12.0, FI1=9.0, FI2=3.0","Shortest path: ['1', '2', '4', '5', '7', '8']
Total distance: 12.0","Shortest path: ['5', '4', '2', '1']
Total distance: 9.0","Shortest path: ['8', '7', '5']
Total distance: 3.0",source distance == FI1 distance + FI2 distance,PASS
M2,MTG11,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['E']
Total distance: inf","Shortest path: ['G']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M2,MTG12,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['4']
Total distance: inf","Shortest path: ['6']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M2,MTG13,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['P']
Total distance: inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['T']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M2,MTG14,Not Equivalent,Output did not contain a parseable distance,"Traceback (most recent call last):
  File ""C:\Users\Admin\code\testingproject\maichi\MUTANTS\mutant2.py"", line 68, in <module>
    main()
    ~~~~^^
  File ""C:\Users\Admin\code\testingproject\maichi\MUTANTS\mutant2.py"", line 63, in main
    path, distance = graph.shortest_path(args.start, args.end)
                     ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Admin\code\testingproject\maichi\MUTANTS\mutant2.py"", line 46, in shortest_path
    while previous_node[current_node] is not None:
          ~~~~~~~~~~~~~^^^^^^^^^^^^^^
KeyError: 'V'","Shortest path: ['W']
Total distance: inf","Shortest path: ['V']
Total distance: inf",ERROR - could not parse distance,ERROR
M2,MTG15,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['5']
Total distance: inf","Shortest path: ['8']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M3,MTG11,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['E']
Total distance: inf","Shortest path: ['G']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
